# Wavelengths (nm)	Extinction coefficient (mag/airmass)
# From Patat et al. 2011, A&A 527, A91, DOI: 10.1051/0004-6361/201015537 for the optical values
# From Mason et al. 2008, DOI: 10.1007/978-3-540-76963-7_59 for the NIR values
371.90018	0.42913383
379.08112	0.39589927
386.69476	0.37595305
398.95908	0.3407167
409.10568	0.30681273
419.2563	0.27888888
433.21957	0.24962977
449.723		0.21704417
471.31204	0.18577904
492.90872	0.16580959
514.5063	0.14716904
541.1922	0.13383566
558.9834	0.12583268
573.8206	0.13577482
583.98157	0.12313334
599.23444	0.12111465
616.1737	0.10646855
636.9274	0.09314503
655.5629	0.08048947
678.85815	0.065832816
705.9745	0.06246551
745.7946	0.047116954
792.4007	0.041059464
842.8212	0.03632454
900.44244	0.02759094
1200.0		0.05
1600.0		0.05
2200.0		0.06
