#                                                          
# SPHERE/ZIMPOL ND filter transmission                    
#                                                          
# Updated with final values on 2015-04-16 by Julien Milli  
# For any information, please contact <jmilli@eso.org>    
#                                                          
# wavelength   ND1.0   ND2.0   ND4.0                                   
#                                                          
      400.000    0.0000000    0.0000000    0.0000000
      401.000    0.0000000    0.0000000    0.0000000
      402.000    0.0000000    0.0000000    0.0000000
      403.000    0.0000000    0.0000000    0.0000000
      404.000    0.0000000    0.0000000    0.0000000
      405.000    0.0000000    0.0000000    0.0000000
      406.000    0.0000000    0.0000000    0.0000000
      407.000    0.0000000    0.0000000    0.0000000
      408.000    0.0000000    0.0000000    0.0000000
      409.000    0.0000000    0.0000000    0.0000000
      410.000    0.0000000    0.0000000    0.0000000
      411.000    0.0000000    0.0000000    0.0000000
      412.000    0.0000000    0.0000000    0.0000000
      413.000    0.0000000    0.0000000    0.0000000
      414.000    0.0000000    0.0000000    0.0000000
      415.000    0.0000000    0.0000000    0.0000000
      416.000    0.0000000    0.0000000    0.0000000
      417.000    0.0000000    0.0000000    0.0000000
      418.000    0.0000000    0.0000000    0.0000000
      419.000    0.0000000    0.0000000    0.0000000
      420.000    0.0000000    0.0000000    0.0000000
      421.000    0.0000000    0.0000000    0.0000000
      422.000    0.0000000    0.0000000    0.0000000
      423.000    0.0000000    0.0000000    0.0000000
      424.000    0.0000000    0.0000000    0.0000000
      425.000    0.0000000    0.0000000    0.0000000
      426.000    0.0000000    0.0000000    0.0000000
      427.000    0.0000000    0.0000000    0.0000000
      428.000    0.0000000    0.0000000    0.0000000
      429.000    0.0000000    0.0000000    0.0000000
      430.000    0.0000000    0.0000000    0.0000000
      431.000    0.0000000    0.0000000    0.0000000
      432.000    0.0000000    0.0000000    0.0000000
      433.000    0.0000000    0.0000000    0.0000000
      434.000    0.0000000    0.0000000    0.0000000
      435.000    0.0000000    0.0000000    0.0000000
      436.000    0.0000000    0.0000000    0.0000000
      437.000    0.0000000    0.0000000    0.0000000
      438.000    0.0000000    0.0000000    0.0000000
      439.000    0.0000000    0.0000000    0.0000000
      440.000    0.0000000    0.0000000    0.0000000
      441.000    0.0000000    0.0000000    0.0000000
      442.000    0.0000000    0.0000000    0.0000000
      443.000    0.0000000    0.0000000    0.0000000
      444.000    0.0000000    0.0000000    0.0000000
      445.000    0.0000000    0.0000000    0.0000000
      446.000    0.0000000    0.0000000    0.0000000
      447.000    0.0000000    0.0000000    0.0000000
      448.000    0.0000000    0.0000000    0.0000000
      449.000    0.0000000    0.0000000    0.0000000
      450.000    0.0000000    0.0000000    0.0000000
      451.000    0.0000000    0.0000000    0.0000000
      452.000    0.0000000    0.0000000    0.0000000
      453.000    0.0000000    0.0000000    0.0000000
      454.000    0.0000000    0.0000000    0.0000000
      455.000    0.0000000    0.0000000    0.0000000
      456.000    0.0000000    0.0000000    0.0000000
      457.000    0.0000000    0.0000000    0.0000000
      458.000    0.0000000    0.0000000    0.0000000
      459.000    0.0000000    0.0000000    0.0000000
      460.000    0.0000000    0.0000000    0.0000000
      461.000    0.0000000    0.0000000    0.0000000
      462.000    0.0000000    0.0000000    0.0000000
      463.000    0.0000000    0.0000000    0.0000000
      464.000    0.0000000    0.0000000    0.0000000
      465.000    0.0000000    0.0000000    0.0000000
      466.000    0.0000000    0.0000000    0.0000000
      467.000    0.0000000    0.0000000    0.0000000
      468.000    0.0000000    0.0000000    0.0000000
      469.000    0.0000000    0.0000000    0.0000000
      470.000    0.0000000    0.0000000    0.0000000
      471.000    0.0000000    0.0000000    0.0000000
      472.000    0.0000000    0.0000000    0.0000000
      473.000    0.0000000    0.0000000    0.0000000
      474.000    0.0000000    0.0000000    0.0000000
      475.000    0.0000000    0.0000000    0.0000000
      476.000    0.0000000    0.0000000    0.0000000
      477.000    0.0000000    0.0000000    0.0000000
      478.000    0.0000000    0.0000000    0.0000000
      479.000    0.0000000    0.0000000    0.0000000
      480.000    0.0000000    0.0000000    0.0000000
      481.000    0.0000000    0.0000000    0.0000000
      482.000    0.0000000    0.0000000    0.0000000
      483.000    0.0000000    0.0000000    0.0000000
      484.000    0.0000000    0.0000000    0.0000000
      485.000    0.0000000    0.0000000    0.0000000
      486.000    0.0000000    0.0000000    0.0000000
      487.000    0.0000000    0.0000000    0.0000000
      488.000    0.0000000    0.0000000    0.0000000
      489.000    0.0000000    0.0000000    0.0000000
      490.000    0.0000000    0.0000000    0.0000000
      491.000    0.0000000    0.0000000    0.0000000
      492.000    0.0000000    0.0000000    0.0000000
      493.000    0.0000000    0.0000000    0.0000000
      494.000    0.0000000    0.0000000    0.0000000
      495.000    0.0000000    0.0000000    0.0000000
      496.000    0.0000000    0.0000000    0.0000000
      497.000    0.0000000    0.0000000    0.0000000
      498.000    0.0000000    0.0000000    0.0000000
      499.000    0.0000000    0.0000000    0.0000000
      500.000    0.0000000    0.0000000    0.0000000
      501.000    0.0889500   0.00600000  5.03000e-05
      502.000    0.0889000   0.00600000  5.06000e-05
      503.000    0.0888500   0.00600000  5.09000e-05
      504.000    0.0888000   0.00600000  5.12000e-05
      505.000    0.0887500   0.00600000  5.15000e-05
      506.000    0.0887000   0.00600000  5.18000e-05
      507.000    0.0886500   0.00600000  5.21000e-05
      508.000    0.0886000   0.00600000  5.24000e-05
      509.000    0.0885500   0.00600000  5.27000e-05
      510.000    0.0885000   0.00600000  5.30000e-05
      511.000    0.0884600   0.00601000  5.34000e-05
      512.000    0.0884200   0.00602000  5.38000e-05
      513.000    0.0883800   0.00603000  5.42000e-05
      514.000    0.0883400   0.00604000  5.46000e-05
      515.000    0.0883000   0.00605000  5.50000e-05
      516.000    0.0882600   0.00606000  5.54000e-05
      517.000    0.0882200   0.00607000  5.58000e-05
      518.000    0.0881800   0.00608000  5.62000e-05
      519.000    0.0881400   0.00609000  5.66000e-05
      520.000    0.0881000   0.00610000  5.70000e-05
      521.000    0.0880600   0.00610000  5.74000e-05
      522.000    0.0880200   0.00610000  5.78000e-05
      523.000    0.0879800   0.00610000  5.82000e-05
      524.000    0.0879400   0.00610000  5.86000e-05
      525.000    0.0879000   0.00610000  5.90000e-05
