date	true_north	error
2014-07-18	-1.747	0.043
2014-08-05	-1.72	0.039
2014-10-11	-1.782	0.042
2014-12-02	-1.709	0.051
2015-02-03	-1.72	0.06
2015-03-31	-1.750	0.058
2015-03-31	-1.746	0.053
2015-05-03	-1.86	0.15
2015-05-30	-1.712	0.063
2015-06-28	-1.769	0.055
2015-07-31	-1.748	0.081
2015-09-24	-1.813	0.046
2015-11-29	-1.747	0.048
2015-12-20	-1.77	0.06
2015-12-26	-1.79	0.06
2016-01-02	-1.75	0.06
2016-01-16	-1.82	0.06
2016-01-18	-1.74	0.07
2016-01-20	-1.81	0.07
2016-01-23	-1.85	0.06
2016-02-07	-1.79	0.06
2016-02-20	-1.76	0.08
2016-03-26	-1.77	0.07
2016-03-28	-1.78	0.08
2016-03-30	-1.756	0.061
2016-04-01	-1.727	0.056
2016-04-16	-1.742	0.059
2016-04-16	-1.759	0.056
2016-05-22	-1.675	0.080
2016-05-25	-1.651	0.049
2016-06-01	-1.723	0.061
2016-06-11	-1.664	0.048
2016-06-23	-1.767	0.046
2016-09-16	-1.762	0.048
2016-10-13	-1.761	0.045
2016-11-18	-1.759	0.045
2016-12-13	-1.808	0.043
2017-02-07	-1.712	0.058
2017-03-19	-1.713	0.012
2017-04-28	-1.768	0.058
2017-05-09	-1.800	0.052	
2017-06-02	-1.808	0.040
2017-09-29	-1.735	0.043
2017-11-04	-1.745	0.053
2017-11-06	-1.763	0.051
2017-11-30	-1.784	0.039
2018-01-03	-1.798	0.060
